,SEASON_DESCRIPTION,REGION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),B,BVic,BYam,H3N2v
193,Season 2018-19,West Virginia,819.0,307.0,234.0,0.0,3.0,15.0,0.0
194,Season 2018-19,Wisconsin,4204.0,412.0,416.0,2.0,26.0,28.0,0.0
195,Season 2018-19,Wyoming,349.0,91.0,79.0,4.0,3.0,4.0,0.0
196,Season 2019-20,Alabama,99.0,3.0,4.0,0.0,42.0,0.0,0.0
197,Season 2019-20,Alaska,357.0,2.0,11.0,2.0,0.0,0.0,0.0
198,Season 2019-20,Arizona,163.0,11.0,9.0,1.0,87.0,2.0,0.0
199,Season 2019-20,Arkansas,30.0,1.0,1.0,0.0,1.0,0.0,0.0
200,Season 2019-20,California,599.0,80.0,73.0,36.0,49.0,2.0,0.0
201,Season 2019-20,Colorado,71.0,4.0,24.0,0.0,13.0,0.0,0.0
202,Season 2019-20,Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,Season 2019-20,Delaware,546.0,3.0,1.0,0.0,27.0,0.0,0.0
204,Season 2019-20,Georgia,282.0,8.0,4.0,17.0,24.0,1.0,0.0
205,Season 2019-20,Hawaii,256.0,30.0,5.0,0.0,51.0,0.0,0.0
206,Season 2019-20,Idaho,86.0,2.0,24.0,0.0,7.0,0.0,0.0
207,Season 2019-20,Illinois,375.0,1.0,4.0,52.0,9.0,0.0,0.0
208,Season 2019-20,Indiana,55.0,5.0,1.0,0.0,3.0,0.0,0.0
209,Season 2019-20,Iowa,333.0,25.0,9.0,4.0,7.0,1.0,0.0
210,Season 2019-20,Kansas,28.0,1.0,0.0,0.0,0.0,0.0,0.0
211,Season 2019-20,Kentucky,62.0,13.0,2.0,2.0,0.0,2.0,0.0
212,Season 2019-20,Louisiana,351.0,3.0,3.0,0.0,64.0,0.0,0.0
213,Season 2019-20,Maine,56.0,2.0,6.0,0.0,3.0,0.0,0.0
214,Season 2019-20,Maryland,357.0,7.0,6.0,1.0,4.0,1.0,0.0
215,Season 2019-20,Massachusetts,39.0,0.0,3.0,0.0,0.0,0.0,0.0
216,Season 2019-20,Michigan,54.0,3.0,7.0,16.0,8.0,0.0,0.0
217,Season 2019-20,Minnesota,162.0,8.0,4.0,0.0,1.0,2.0,0.0
218,Season 2019-20,Mississippi,68.0,1.0,3.0,1.0,8.0,0.0,0.0
219,Season 2019-20,Missouri,19.0,0.0,0.0,0.0,0.0,0.0,0.0
220,Season 2019-20,Montana,138.0,1.0,20.0,0.0,8.0,0.0,0.0
221,Season 2019-20,Nebraska,52.0,11.0,3.0,0.0,2.0,0.0,0.0
222,Season 2019-20,Nevada,132.0,5.0,25.0,23.0,15.0,0.0,0.0
223,Season 2019-20,New Hampshire,12.0,2.0,0.0,0.0,1.0,0.0,0.0
224,Season 2019-20,New Jersey,63.0,1.0,4.0,3.0,0.0,0.0,0.0
225,Season 2019-20,New Mexico,110.0,2.0,4.0,0.0,0.0,0.0,0.0
226,Season 2019-20,New York,183.0,0.0,14.0,0.0,1.0,1.0,0.0
227,Season 2019-20,North Carolina,112.0,1.0,3.0,0.0,3.0,5.0,0.0
228,Season 2019-20,North Dakota,44.0,0.0,6.0,0.0,20.0,0.0,0.0
229,Season 2019-20,Ohio,145.0,2.0,2.0,1.0,3.0,0.0,0.0
230,Season 2019-20,Oklahoma,97.0,2.0,1.0,0.0,4.0,0.0,0.0
231,Season 2019-20,Oregon,26.0,0.0,4.0,3.0,0.0,0.0,0.0
232,Season 2019-20,Pennsylvania,248.0,0.0,14.0,8.0,1.0,0.0,0.0
233,Season 2019-20,Rhode Island,29.0,0.0,0.0,0.0,0.0,0.0,0.0
234,Season 2019-20,South Carolina,76.0,1.0,6.0,0.0,9.0,0.0,0.0
235,Season 2019-20,South Dakota,75.0,1.0,2.0,0.0,6.0,0.0,0.0
236,Season 2019-20,Tennessee,147.0,0.0,1.0,0.0,1.0,0.0,0.0
237,Season 2019-20,Texas,243.0,14.0,3.0,20.0,14.0,0.0,0.0
238,Season 2019-20,Utah,49.0,10.0,6.0,1.0,2.0,0.0,0.0
239,Season 2019-20,Vermont,11.0,0.0,2.0,0.0,0.0,0.0,0.0
240,Season 2019-20,Virginia,216.0,2.0,4.0,0.0,2.0,0.0,0.0
241,Season 2019-20,Washington,107.0,13.0,16.0,1.0,6.0,0.0,0.0
242,Season 2019-20,West Virginia,34.0,3.0,0.0,0.0,0.0,0.0,0.0
243,Season 2019-20,Wisconsin,602.0,6.0,15.0,0.0,7.0,3.0,0.0
244,Season 2019-20,Wyoming,25.0,2.0,0.0,0.0,0.0,0.0,0.0
