,REGION,TOTAL SPECIMENS,A (2009 H1N1),A (H1),B,H3N2v,Season
224,New Jersey,0.0,0.0,0.0,0.0,0.0,Season 2014-15
225,New Mexico,2478.0,1.0,0.0,147.0,0.0,Season 2014-15
226,New York,71542.0,33.0,0.0,1615.0,0.0,Season 2014-15
227,North Carolina,8340.0,3.0,0.0,246.0,0.0,Season 2014-15
228,North Dakota,1160.0,1.0,0.0,118.0,0.0,Season 2014-15
229,Ohio,23241.0,2.0,0.0,534.0,1.0,Season 2014-15
230,Oklahoma,10472.0,0.0,0.0,306.0,0.0,Season 2014-15
231,Oregon,10904.0,1.0,0.0,179.0,0.0,Season 2014-15
232,Pennsylvania,25244.0,5.0,0.0,434.0,0.0,Season 2014-15
233,Rhode Island,0.0,0.0,0.0,0.0,0.0,Season 2014-15
234,South Carolina,14166.0,0.0,0.0,335.0,0.0,Season 2014-15
235,South Dakota,9952.0,2.0,0.0,432.0,0.0,Season 2014-15
236,Tennessee,13973.0,0.0,0.0,356.0,0.0,Season 2014-15
237,Texas,66055.0,4.0,0.0,2219.0,0.0,Season 2014-15
238,Utah,29696.0,3.0,0.0,600.0,0.0,Season 2014-15
239,Vermont,6109.0,0.0,0.0,191.0,0.0,Season 2014-15
240,Virginia,10793.0,3.0,0.0,212.0,0.0,Season 2014-15
241,Washington,16627.0,10.0,0.0,320.0,0.0,Season 2014-15
242,West Virginia,20892.0,0.0,0.0,272.0,0.0,Season 2014-15
243,Wisconsin,6477.0,4.0,0.0,427.0,1.0,Season 2014-15
244,Wyoming,1154.0,0.0,0.0,102.0,0.0,Season 2014-15
245,Alabama,595.0,0.0,0.0,2.0,0.0,Season 2015-16
246,Alaska,755.0,0.0,0.0,11.0,0.0,Season 2015-16
247,Arizona,567.0,0.0,0.0,0.0,0.0,Season 2015-16
248,Arkansas,249.0,0.0,0.0,0.0,0.0,Season 2015-16
249,California,4652.0,4.0,0.0,8.0,0.0,Season 2015-16
250,Colorado,2011.0,1.0,0.0,1.0,0.0,Season 2015-16
251,Connecticut,1672.0,0.0,0.0,4.0,0.0,Season 2015-16
252,Delaware,106.0,0.0,0.0,0.0,0.0,Season 2015-16
253,Georgia,3337.0,3.0,0.0,22.0,0.0,Season 2015-16
254,Hawaii,3161.0,3.0,0.0,138.0,0.0,Season 2015-16
255,Idaho,0.0,0.0,0.0,0.0,0.0,Season 2015-16
256,Illinois,1820.0,0.0,0.0,2.0,0.0,Season 2015-16
257,Indiana,694.0,0.0,0.0,1.0,0.0,Season 2015-16
258,Iowa,326.0,1.0,0.0,5.0,0.0,Season 2015-16
259,Kansas,169.0,0.0,0.0,2.0,0.0,Season 2015-16
260,Kentucky,1237.0,2.0,0.0,0.0,0.0,Season 2015-16
261,Louisiana,1395.0,0.0,0.0,2.0,0.0,Season 2015-16
262,Maine,0.0,0.0,0.0,0.0,0.0,Season 2015-16
263,Maryland,447.0,0.0,0.0,1.0,0.0,Season 2015-16
264,Massachusetts,834.0,1.0,0.0,0.0,0.0,Season 2015-16
265,Michigan,1569.0,5.0,0.0,8.0,0.0,Season 2015-16
266,Minnesota,1631.0,1.0,0.0,2.0,1.0,Season 2015-16
267,Mississippi,374.0,0.0,0.0,0.0,0.0,Season 2015-16
268,Missouri,4233.0,0.0,0.0,1.0,0.0,Season 2015-16
269,Montana,837.0,0.0,0.0,8.0,0.0,Season 2015-16
270,Nebraska,444.0,0.0,0.0,1.0,0.0,Season 2015-16
271,Nevada,36.0,0.0,0.0,0.0,0.0,Season 2015-16
272,New Hampshire,37.0,0.0,0.0,0.0,0.0,Season 2015-16
273,New Jersey,0.0,0.0,0.0,0.0,0.0,Season 2015-16
274,New Mexico,94.0,0.0,0.0,0.0,0.0,Season 2015-16
275,New York,8967.0,5.0,0.0,3.0,0.0,Season 2015-16
276,North Carolina,280.0,0.0,0.0,4.0,0.0,Season 2015-16
277,North Dakota,0.0,0.0,0.0,0.0,0.0,Season 2015-16
278,Ohio,2526.0,3.0,0.0,10.0,0.0,Season 2015-16
279,Oklahoma,1219.0,0.0,0.0,0.0,0.0,Season 2015-16
280,Oregon,682.0,0.0,0.0,2.0,0.0,Season 2015-16
281,Pennsylvania,1968.0,0.0,0.0,3.0,0.0,Season 2015-16
282,Rhode Island,0.0,0.0,0.0,0.0,0.0,Season 2015-16
283,South Carolina,1589.0,0.0,0.0,2.0,0.0,Season 2015-16
284,South Dakota,1252.0,0.0,0.0,0.0,0.0,Season 2015-16
285,Tennessee,714.0,0.0,0.0,6.0,0.0,Season 2015-16
286,Texas,5652.0,0.0,0.0,43.0,0.0,Season 2015-16
287,Utah,3668.0,1.0,0.0,10.0,0.0,Season 2015-16
288,Vermont,202.0,0.0,0.0,0.0,0.0,Season 2015-16
289,Virginia,1121.0,1.0,0.0,1.0,0.0,Season 2015-16
290,Washington,1758.0,0.0,0.0,12.0,0.0,Season 2015-16
291,West Virginia,2357.0,0.0,0.0,1.0,0.0,Season 2015-16
292,Wisconsin,446.0,0.0,0.0,3.0,0.0,Season 2015-16
293,Wyoming,0.0,0.0,0.0,0.0,0.0,Season 2015-16
