,REGION,ILITOTAL,TOTAL PATIENTS,Season,A_H1,A_H3,BVic,BYam,A_2009_H1N1,Total_Tested,B,H3N2v,ILI_Percent,A_H1_Percent,A_H3_Percent,BVic_Percent,BYam_Percent,A_2009_H1N1_Percent,B_Percent,H3N2v_Percent
100,Arizona,13521.0,848674.0,12.0,0.0,,,,68.0,5458.0,468.0,0.0,0.01593191260719664,0.0,,,,0.01245877610846464,0.08574569439355074,0.0
101,Arkansas,2429.0,124875.0,12.0,0.0,,,,12.0,2149.0,148.0,0.0,0.01945145145145145,0.0,,,,0.005583992554676594,0.068869241507678,0.0
102,California,42860.0,1545173.0,12.0,0.0,,,,91.0,16782.0,561.0,0.0,0.027737994386389096,0.0,,,,0.005422476462876892,0.033428673578834465,0.0
103,Colorado,11472.0,1093683.0,12.0,0.0,,,,121.0,15837.0,899.0,0.0,0.010489328260565447,0.0,,,,0.007640335922207489,0.05676580160383911,0.0
104,Connecticut,1943.0,156820.0,12.0,0.0,,,,34.0,10458.0,308.0,0.0,0.012390001275347532,0.0,,,,0.003251099636641805,0.029451137884872823,0.0
105,Delaware,1397.0,97309.0,12.0,0.0,,,,38.0,4108.0,492.0,0.0,0.014356328808229455,0.0,,,,0.009250243427458617,0.11976630963972736,0.0
106,Georgia,25439.0,1459100.0,12.0,0.0,,,,49.0,33724.0,2114.0,0.0,0.01743472003289699,0.0,,,,0.0014529711777962282,0.06268532795635157,0.0
107,Hawaii,7907.0,417913.0,12.0,0.0,,,,85.0,16891.0,1371.0,1.0,0.018920205880171233,0.0,,,,0.005032265703629152,0.08116748564324196,5.920312592504884e-05
108,Idaho,3027.0,193637.0,12.0,0.0,,,,4.0,669.0,172.0,0.0,0.015632342992300024,0.0,,,,0.005979073243647235,0.2571001494768311,0.0
109,Illinois,48058.0,2053115.0,12.0,0.0,,,,6.0,3377.0,89.0,3.0,0.023407359061718414,0.0,,,,0.0017767249037607344,0.02635475273911756,0.0008883624518803672
110,Indiana,7486.0,434330.0,12.0,0.0,,,,40.0,3839.0,164.0,109.0,0.017235742407846567,0.0,,,,0.01041938004688721,0.04271945819223756,0.028392810627767648
111,Iowa,1268.0,108605.0,12.0,0.0,,,,17.0,4456.0,386.0,1.0,0.011675337231250863,0.0,,,,0.00381508078994614,0.08662477558348294,0.0002244165170556553
112,Kansas,5718.0,305815.0,12.0,0.0,,,,0.0,115.0,21.0,0.0,0.01869757860144205,0.0,,,,0.0,0.1826086956521739,0.0
113,Kentucky,4476.0,892964.0,12.0,0.0,,,,9.0,1888.0,85.0,0.0,0.005012520101594241,0.0,,,,0.004766949152542373,0.045021186440677964,0.0
114,Louisiana,45248.0,1391307.0,12.0,0.0,,,,7.0,7710.0,373.0,0.0,0.03252193800505568,0.0,,,,0.0009079118028534371,0.04837872892347601,0.0
115,Maine,3042.0,290408.0,12.0,0.0,,,,19.0,1060.0,18.0,0.0,0.010474918046334812,0.0,,,,0.017924528301886792,0.016981132075471698,0.0
116,Maryland,6838.0,306714.0,12.0,0.0,,,,69.0,6206.0,593.0,12.0,0.022294384997098272,0.0,,,,0.011118272639381244,0.09555269094424751,0.0019336126329358686
117,Massachusetts,16446.0,1317834.0,12.0,0.0,,,,18.0,1489.0,99.0,0.0,0.01247956874689832,0.0,,,,0.01208865010073875,0.06648757555406314,0.0
118,Michigan,12153.0,671555.0,12.0,0.0,,,,23.0,994.0,125.0,6.0,0.01809680517604664,0.0,,,,0.023138832997987926,0.12575452716297786,0.006036217303822937
119,Minnesota,2930.0,221388.0,12.0,0.0,,,,53.0,10092.0,681.0,3.0,0.013234682999981932,0.0,,,,0.005251684502576298,0.06747919143876338,0.00029726516052318666
120,Mississippi,32458.0,718230.0,12.0,0.0,,,,7.0,1850.0,84.0,0.0,0.045191651699316375,0.0,,,,0.0037837837837837837,0.04540540540540541,0.0
121,Missouri,6728.0,313603.0,12.0,0.0,,,,20.0,12789.0,373.0,0.0,0.02145387639786609,0.0,,,,0.001563843928375948,0.029165689264211432,0.0
122,Montana,434.0,113688.0,12.0,0.0,,,,4.0,3366.0,218.0,0.0,0.003817465343747801,0.0,,,,0.0011883541295306002,0.0647653000594177,0.0
123,Nebraska,5425.0,129445.0,12.0,0.0,,,,11.0,2564.0,257.0,0.0,0.04190969137471513,0.0,,,,0.004290171606864275,0.10023400936037441,0.0
124,Nevada,7215.0,531811.0,12.0,0.0,,,,18.0,1634.0,277.0,0.0,0.013566849877117999,0.0,,,,0.011015911872705019,0.16952264381884946,0.0
