,Season_Year,REGION,ILITOTAL,TOTAL PATIENTS,Season
299,22016,Colorado,1878.0,170035.0,Season 2016-17
300,22016,Connecticut,3056.0,143010.0,Season 2016-17
301,22016,Delaware,359.0,136000.0,Season 2016-17
302,22016,Georgia,69727.0,2522381.0,Season 2016-17
303,22016,Hawaii,1537.0,65346.0,Season 2016-17
304,22016,Idaho,682.0,72922.0,Season 2016-17
305,22016,Illinois,45296.0,2292568.0,Season 2016-17
306,22016,Indiana,4379.0,245759.0,Season 2016-17
307,22016,Iowa,945.0,119488.0,Season 2016-17
308,22016,Kansas,6786.0,279327.0,Season 2016-17
309,22016,Kentucky,12321.0,692093.0,Season 2016-17
310,22016,Louisiana,61598.0,2554202.0,Season 2016-17
311,22016,Maine,2157.0,236405.0,Season 2016-17
312,22016,Maryland,7597.0,393748.0,Season 2016-17
313,22016,Massachusetts,14740.0,1332557.0,Season 2016-17
314,22016,Michigan,17735.0,1078052.0,Season 2016-17
315,22016,Minnesota,5484.0,258982.0,Season 2016-17
316,22016,Mississippi,27172.0,913596.0,Season 2016-17
317,22016,Missouri,6037.0,287626.0,Season 2016-17
318,22016,Montana,208.0,134791.0,Season 2016-17
319,22016,Nebraska,1216.0,129601.0,Season 2016-17
320,22016,Nevada,7943.0,838730.0,Season 2016-17
321,22016,New Hampshire,993.0,162415.0,Season 2016-17
322,22016,New Jersey,21695.0,661483.0,Season 2016-17
323,22016,New Mexico,9531.0,480955.0,Season 2016-17
324,22016,New York,16021.0,524369.0,Season 2016-17
325,22016,North Carolina,13924.0,558155.0,Season 2016-17
326,22016,North Dakota,874.0,59314.0,Season 2016-17
327,22016,Ohio,10321.0,823605.0,Season 2016-17
328,22016,Oklahoma,9213.0,223488.0,Season 2016-17
329,22016,Oregon,3009.0,211261.0,Season 2016-17
330,22016,Pennsylvania,10997.0,637729.0,Season 2016-17
331,22016,Rhode Island,2258.0,214881.0,Season 2016-17
332,22016,South Carolina,7830.0,251264.0,Season 2016-17
333,22016,South Dakota,6075.0,375428.0,Season 2016-17
334,22016,Tennessee,12764.0,461002.0,Season 2016-17
335,22016,Texas,45682.0,1230261.0,Season 2016-17
336,22016,Utah,9557.0,920038.0,Season 2016-17
337,22016,Vermont,1033.0,99411.0,Season 2016-17
338,22016,Virginia,104421.0,4600225.0,Season 2016-17
339,22016,Washington,1536.0,194677.0,Season 2016-17
340,22016,West Virginia,13443.0,930335.0,Season 2016-17
341,22016,Wisconsin,3227.0,197909.0,Season 2016-17
342,22016,Wyoming,2359.0,196098.0,Season 2016-17
343,22017,Alabama,63300.0,1547485.0,Season 2017-18
344,22017,Alaska,8270.0,205160.0,Season 2017-18
345,22017,Arizona,25857.0,839200.0,Season 2017-18
346,22017,Arkansas,6270.0,174189.0,Season 2017-18
347,22017,California,55602.0,2300927.0,Season 2017-18
348,22017,Colorado,13528.0,1068550.0,Season 2017-18
349,22017,Connecticut,5021.0,155100.0,Season 2017-18
350,22017,Delaware,945.0,134424.0,Season 2017-18
351,22017,Georgia,94462.0,2431965.0,Season 2017-18
352,22017,Hawaii,1879.0,62196.0,Season 2017-18
353,22017,Idaho,631.0,52768.0,Season 2017-18
354,22017,Illinois,46425.0,2186362.0,Season 2017-18
355,22017,Indiana,5563.0,200225.0,Season 2017-18
356,22017,Iowa,1688.0,145228.0,Season 2017-18
357,22017,Kansas,10297.0,257950.0,Season 2017-18
358,22017,Kentucky,15917.0,439598.0,Season 2017-18
359,22017,Louisiana,103347.0,2775965.0,Season 2017-18
360,22017,Maine,1296.0,203451.0,Season 2017-18
361,22017,Maryland,6716.0,330362.0,Season 2017-18
362,22017,Massachusetts,27324.0,1532499.0,Season 2017-18
363,22017,Michigan,21860.0,1136974.0,Season 2017-18
364,22017,Minnesota,7268.0,294931.0,Season 2017-18
365,22017,Mississippi,37580.0,882626.0,Season 2017-18
366,22017,Missouri,6163.0,202927.0,Season 2017-18
