REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Wisconsin,2010,46,59,47,5249
States,Wyoming,2010,46,36,28,4834
States,Alabama,2010,47,360,33,8418
States,Alaska,2010,47,10,6,1533
States,Arizona,2010,47,251,54,22138
States,Arkansas,2010,47,53,17,2616
States,California,2010,47,729,134,23060
States,Colorado,2010,47,108,11,14316
States,Connecticut,2010,47,11,16,1535
States,Delaware,2010,47,12,12,2384
States,Georgia,2010,47,1801,61,32966
States,Hawaii,2010,47,128,18,8131
States,Idaho,2010,47,99,13,3226
States,Illinois,2010,47,622,78,34238
States,Indiana,2010,47,72,44,9056
States,Iowa,2010,47,8,8,1499
States,Kansas,2010,47,61,43,6850
States,Kentucky,2010,47,63,15,11675
States,Louisiana,2010,47,433,41,14793
States,Maine,2010,47,27,31,4372
States,Maryland,2010,47,128,19,6360
States,Massachusetts,2010,47,198,50,20666
States,Michigan,2010,47,92,52,10758
States,Minnesota,2010,47,47,18,4269
States,Mississippi,2010,47,786,46,16246
States,Missouri,2010,47,78,30,5516
States,Montana,2010,47,10,6,1862
States,Nebraska,2010,47,15,15,2440
States,Nevada,2010,47,299,34,9639
States,New Hampshire,2010,47,8,30,3899
States,New Jersey,2010,47,143,25,5915
States,New Mexico,2010,47,194,24,6514
States,New York,2010,47,58,104,10561
States,North Carolina,2010,47,102,77,16140
States,North Dakota,2010,47,27,18,4572
States,Ohio,2010,47,48,42,10561
States,Oklahoma,2010,47,64,16,2413
States,Oregon,2010,47,25,18,2350
States,Pennsylvania,2010,47,144,67,12991
States,Rhode Island,2010,47,31,21,4572
States,South Carolina,2010,47,23,23,4483
States,South Dakota,2010,47,37,18,4148
States,Tennessee,2010,47,65,53,7909
States,Texas,2010,47,964,90,37096
States,Utah,2010,47,37,23,4976
States,Vermont,2010,47,46,11,2371
States,Virginia,2010,47,987,87,60654
States,Washington,2010,47,21,14,1121
States,West Virginia,2010,47,133,33,7892
States,Wisconsin,2010,47,36,50,3680
States,Wyoming,2010,47,17,29,3399
States,Alabama,2010,48,467,35,10517
States,Alaska,2010,48,8,8,1740
States,Arizona,2010,48,371,56,26085
States,Arkansas,2010,48,62,18,4451
States,California,2010,48,939,135,36028
States,Colorado,2010,48,168,11,19771
States,Connecticut,2010,48,19,19,4289
States,Delaware,2010,48,11,13,4074
States,Georgia,2010,48,1315,62,37768
